input,name,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
22H,Invite Hell,30,All,18,32,51 Total,-7,KD,500,1000,2,Very Small,-,80%
]P[,Pierce,20×2,All,13,3(17)2,24,+45,KD,200×2,1000,2,Very Small,-,80%
236P,Pierce,20×2,All,21 {25},3(17)2,24 [36 Zato],+30,KD,200×2,1000,2,Very Small,-,80%
]K[,That's a lot,20×4,All,19,-,-,-,KD,100×4,1000×4,2,Very Small,-,80%
236K,That's a lot,20×4,All,27 {31},-,[36 Zato],+55,KD,100×4,1000,2,Very Small,-,80%
]S[,Leap,"20, 50",All,13,2×13,34,-,KD,200×2,1000,3,Very Small,-,80%
236S,Leap,"20, 50",All,21 {25},2×13,34 [36 Zato],+46,KD,200×2,1000,3,Very Small,-,80%
]H[,Oppose,30×3,All,66,3×6,(Summon Vanishes),-,KD,100×3,1000,4,Very Small,8~59 Guardpoint,80%
236H,Oppose,30×3,All,74 {78},3×6,(Summon Vanishes) [36 Zato],-,KD,100×3,1000,4,Very Small,16~67 {20~71} Guardpoint,80%
623S,Damned Fang,"1x13, 89",Ground Throw,6,1,39,-,HKD,-,2500,-,-,1~5 Throw,50%
214K,Break The Law,-,-,28 Total (Max 95),-,-,-,-,-,-,-,-,13~[71] Full,-
214S,Drunkard Shade,31,All,9,10,12,-8,-5,1500,1000,2,Mid,3~18 Reflect,100%
214S (Dash),Eddie Dash,-,-,30 Total,-,-,-,-,-,-,-,-,-,-
214H,Summon Eddie,-,-,21,-,36 Zato,-,-,-,-,-,-,-,-
214H,Unsummon Eddie,-,-,-,-,32 Zato,-,-,-,-,-,-,-,-
